Conference title	Conference code	Year	Status	Publisher	Ready	URL	Editors	Dates held	Location	Complete PDF	Type	Notes	file_name	Joint
Translating and the Computer 35	tc	2013		??London: Aslib	TRUE	http://www.mt-archive.info/10/Aslib-2013-TOC.htm	?? Not mentionned on TOC	November 28-29	London, UK		TOC		2013.tc	
Translating and the Computer 36	tc	2014		??AsLing:The International Association for Advancement in Language Technology	TRUE	http://www.mt-archive.info/10/Asling-2014-TOC.htm	??Editions Tradulex, Geneva	November 27-28	London, UK		TOC		2014.tc	
Translating and the Computer 37	tc	2015		??AsLing:The International Association for Advancement in Language Technology	TRUE	http://www.mt-archive.info//15/Asling-2015-TOC.htm	??Editions Tradulex, Geneva	November 26-27	London, UK		TOC		2015.tc	
Translating and the Computer 38	tc	2016		??	TRUE	http://www.mt-archive.info//15/Asling-2016-TOC.htm	??	November 17-18	London, UK		TOC		2016.tc	
Translingual Europe	te	2009			TRUE	http://www.mt-archive.info/05/Translingual-Europe-2009-TOC.htm	??	May 13-14	Prague, Czech Republic		TOC		2009.te	
Translingual Europe	te	2010		??	TRUE	http://www.mt-archive.info/10/Translingual-Europe-2010-TOC.htm	??	June 7	Berlin, Germany		TOC		2010.te	
Workshop on Statistical Machine Translation	wmt	2006	In Anthology		FALSE	http://www.mt-archive.info/05/WMT-2006-TOC.htm		June 8-9	held at: HLT-NAACL 2006		TOC		2006.wmt	
Workshop on Statistical Machine Translation	wmt	2007	In Anthology		FALSE	http://www.mt-archive.info/05/WMT-2007-TOC.htm		June 23	held at: ACL 2007		TOC		2007.wmt	
Workshop on Statistical Machine Translation	wmt	2008	In Anthology		FALSE	http://www.mt-archive.info/05/WMT-2008-TOC.htm		June 19	held at: ACL 2008 HLT		TOC		2008.wmt	
Workshop on Statistical Machine Translation	wmt	2009	In Anthology		FALSE	http://www.mt-archive.info/05/WMT-2009-TOC.htm		March 30-31	held at: EACL 2009		TOC		2009.wmt	
Workshop on Statistical Machine Translation	wmt	2010	In Anthology		FALSE	http://www.mt-archive.info/10/WMT-2010-TOC.htm		July 15-16	held at: ACL 2010		TOC		2010.wmt	
Workshop on Statistical Machine Translation	wmt	2011	In Anthology		FALSE	http://www.mt-archive.info/10/WMT-2011-TOC.htm		July 30-31	held at EMNLP 2011		TOC		2011.wmt	
Workshop on Statistical Machine Translation	wmt	2012	In Anthology		FALSE	http://www.mt-archive.info/10/WMT-2012-TOC.htm		June 7-8	Montréal, Canada		TOC		2012.wmt	
Workshop on Statistical Machine Translation	wmt	2013	In Anthology		FALSE	http://www.mt-archive.info/10/WMT-2013-TOC.htm		August 8-9	Sofia, Bulgaria		TOC		2013.wmt	
Workshop on Statistical Machine Translation	wmt	2014	In Anthology		FALSE	http://www.mt-archive.info/10/WMT-2014-TOC.htm		June 26-27	Baltimore, USA		TOC		2014.wmt	
International Workshop on Computer Aided Translation	other	1985		??King Abdulaziz City for Science & Technology  Riyadh, 1406 A.H./1986	TRUE	http://www.mt-archive.info/70/Wahab-1985-TOC.htm	Dr.A.Razzak A.Wahab and Dr.Mohmoud E.Sieny 	March 16-17	Riyadh, Saudi Arabia		TOC		1985.other	
World Systran Conference	other	1986		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/70/T&T-1986-TOC.htm	??Not mentioned on TOC	February 11-14	Luxembourg, Luxembourg		TOC	Terminologie et Traduction. 1-1986. Numéro special	1986.other	
IAI-MT86	other	1986		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/70/IAI-1986-TOC.htm	??Not mentioned on TOC	August 20-22	Dudweiler, West Germany		TOC		1986b.other	
New Directions in Machine Translation	other	1988		??Mouton de Gruyter	TRUE	http://www.mt-archive.info/70/DLT-1988-Maxwell-TOC.htm	Dan Maxwell and Klaus Schubert and Toon Witkam	August 18-19	Budapest, Hungary		TOC		1988.other	
International Forum for Translation Technology: Harmonizing Human Beings and Computers in Translation	other	1989		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/70/IFTT-1989-TOC.htm	??Not mentioned on TOC	April 26-28	Oiso, Japan		PDF		1989.other	
Workshop on Machine Translation	other	1990		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/UMIST-1990-TOC.htm	J.McNaught	July 2-3	UMIST, UK		TOC		1990.other	
Evaluators’ Forum	other	1991		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/ISSCO-1991-TOC.htm	Kirsten Falkedal	April 21-24	Les Rasses, Switzerland		TOC	MT news international http://www.mt-archive.info/MTNI-1.pdf	1991.other	
International Workshop on Fundamental Research for the Future Generation of Natural Language Processing	other	1992		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/FGNLP-1992-TOC.htm	Sofia Ananiadou	July 30-31	Manchester, UK		TOC		1992.other	
MT Evaluation	other	1992		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/AMTA-1992-TOC.htm	Muriel Vasconcellos	November 2-3	San Diego, California		TOC		1992b.other	
ARPA Workshop on Machine Translation	other	1994		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/ARPA-1994-TOC.htm	??Not mentioned on TOC	March 17-18	Vienna, Virginia		TOC		1994.other	
Spoken Language Translation	other	1997		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/90/SLT-1997-TOC.htm	Steven Krauwer and Doug Arnold and Walter Kasper and Manny Rayner and Harold Somers	July 11	Madrid, Spain		TOC		1997.other	
MT Eval Workshop	other	2001		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/00/MTEval-2001-TOC.htm	??Not mentioned on TOC	April 19-24	Geneva, Switzerland		TOC		2001.other	
METIS-II Workshop: New Approaches to Machine Translation	other	2007		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/05/METIS-2007-TOC.htm	??Chair: Steven Krauwer	January 11	Leuven, Belgium		TOC		2007.other	
MATMT workshop	other	2008		??Not mentioned on TOC	TRUE	http://www.mt-archive.info/05/MATMT-2008-TOC.htm	Iñaki Alegria and Lluís Màrquez and Kepa Sarasola	February 14	Donostia-San Sebastian	http://www.mt-archive.info/05/MATMT-2008-complete.pdf	TOC		2008.other	
